timestamp,paid_rate,total_transaction
2023-01-24 08:00:00,74.4,313
2023-01-24 09:00:00,77.6,544
2023-01-24 10:00:00,78.9,757
2023-01-24 11:00:00,78.0,1006
2023-01-24 12:00:00,78.3,785
2023-01-24 13:00:00,78.9,735
2023-01-24 14:00:00,81.9,1205
2023-01-24 15:00:00,82.1,868
2023-01-24 16:00:00,78.7,774
2023-01-24 17:00:00,82.4,733
2023-01-24 18:00:00,80.9,781
2023-01-24 19:00:00,82.0,693
2023-01-24 20:00:00,79.4,733
2023-01-24 21:00:00,84.4,866
2023-01-24 22:00:00,77.8,643
2023-01-24 23:00:00,74.8,445
2023-01-25 00:00:00,70.8,274
2023-01-25 01:00:00,78.9,161
2023-01-25 02:00:00,76.19819031569845,605
2023-01-25 03:00:00,76.26378841804652,798
2023-01-25 04:00:00,77.75156438079925,318
2023-01-25 05:00:00,77.8230655559597,557
2023-01-25 06:00:00,78.90688544716762,707
2023-01-25 07:00:00,76.36999862692545,448
2023-01-25 08:00:00,82.4,306
2023-01-25 09:00:00,78.7,563
2023-01-25 10:00:00,81.2,1052
2023-01-25 11:00:00,79.1,953
2023-01-25 12:00:00,82.7,770
2023-01-25 13:00:00,79.3,767
2023-01-25 14:00:00,78.7,835
2023-01-25 15:00:00,78.8,755
2023-01-25 16:00:00,82.9,671
2023-01-25 17:00:00,79.3,743
2023-01-25 18:00:00,80.9,761
2023-01-25 19:00:00,78.2,808
2023-01-25 20:00:00,75.8,801
2023-01-25 21:00:00,80.7,814
2023-01-25 22:00:00,80.2,738
2023-01-25 23:00:00,74.8,511
2023-01-26 00:00:00,75.6,254
2023-01-26 01:00:00,77.4590685210023,451
2023-01-26 02:00:00,76.43359195062486,547
2023-01-26 03:00:00,74.23225561177959,729
2023-01-26 04:00:00,76.64798706014504,655
2023-01-26 05:00:00,77.07896999440115,600
2023-01-26 06:00:00,76.6426469277103,832
2023-01-26 07:00:00,78.45043570036643,756
2023-01-26 08:00:00,77.6,277
2023-01-26 09:00:00,79.6,570
2023-01-26 10:00:00,77.8,770
2023-01-26 11:00:00,80.6,990
2023-01-26 12:00:00,80.6,864
2023-01-26 13:00:00,77.9,822
2023-01-26 14:00:00,78.7,820
2023-01-26 15:00:00,79.2,761
2023-01-26 16:00:00,80.5,723
2023-01-26 17:00:00,74.7,792
2023-01-26 18:00:00,79.1,786
2023-01-26 19:00:00,76.2,734
2023-01-26 20:00:00,79.8,722
2023-01-26 21:00:00,79.8,808
2023-01-26 22:00:00,80.6,653
2023-01-26 23:00:00,81.4,440
2023-01-27 00:00:00,77.7,260
2023-01-27 01:00:00,78.93706641970978,432
2023-01-27 02:00:00,77.16106886358007,788
2023-01-27 03:00:00,77.94373702908668,595
2023-01-27 04:00:00,77.28942736341952,487
2023-01-27 05:00:00,76.6729158445927,704
2023-01-27 06:00:00,76.8725233197332,819
2023-01-27 07:00:00,76.2,151
2023-01-27 08:00:00,79.0,366
2023-01-27 09:00:00,80.0,689
2023-01-27 10:00:00,80.5,809
2023-01-27 11:00:00,78.5,978
2023-01-27 12:00:00,78.7,865
2023-01-27 13:00:00,80.5,877
2023-01-27 14:00:00,76.8,982
2023-01-27 15:00:00,79.4,934
2023-01-27 16:00:00,79.1,839
2023-01-27 17:00:00,81.5,844
2023-01-27 18:00:00,79.8,832
2023-01-27 19:00:00,79.5,847
2023-01-27 20:00:00,80.0,784
2023-01-27 21:00:00,78.9,786
2023-01-27 22:00:00,79.2,668
2023-01-27 23:00:00,79.3,571
2023-01-28 00:00:00,73.6,368
2023-01-28 01:00:00,75.8,182
2023-01-28 02:00:00,77.67833263988129,537
2023-01-28 03:00:00,75.21765582190513,646
2023-01-28 04:00:00,78.26467930387793,578
2023-01-28 05:00:00,75.40481573406814,369
2023-01-28 06:00:00,77.69930288488075,664
2023-01-28 07:00:00,77.69016492290346,894
2023-01-28 08:00:00,77.8,302
2023-01-28 09:00:00,79.0,754
2023-01-28 10:00:00,80.2,1137
2023-01-28 11:00:00,82.1,1238
2023-01-28 12:00:00,82.0,1090
2023-01-28 13:00:00,81.6,1049
2023-01-28 14:00:00,82.6,1124
2023-01-28 15:00:00,78.2,1144
2023-01-28 16:00:00,80.2,970
2023-01-28 17:00:00,78.5,831
2023-01-28 18:00:00,81.8,770
2023-01-28 19:00:00,81.2,644
2023-01-28 20:00:00,78.7,526
2023-01-28 21:00:00,84.2,524
2023-01-28 22:00:00,78.4,462
2023-01-28 23:00:00,81.7,382
2023-01-29 00:00:00,80.4,326
2023-01-29 01:00:00,83.4,253
2023-01-29 02:00:00,78.37225324970561,618
2023-01-29 03:00:00,76.17245780312582,202
2023-01-29 04:00:00,77.8907174108216,749
2023-01-29 05:00:00,75.8081406248916,861
2023-01-29 06:00:00,76.43512365663749,689
2023-01-29 07:00:00,75.61804941051435,643
2023-01-29 08:00:00,71.2,236
2023-01-29 09:00:00,81.3,470
2023-01-29 10:00:00,82.5,747
2023-01-29 11:00:00,80.3,888
2023-01-29 12:00:00,81.5,904
2023-01-29 13:00:00,79.5,789
2023-01-29 14:00:00,80.5,806
2023-01-29 15:00:00,79.2,855
